year,state,wvalue,lvalue
2006,"Congo, Dem. Rep.",7731,female
2007,"Congo, Dem. Rep.",7731,female
2008,"Congo, Dem. Rep.",7731,female
2009,"Congo, Dem. Rep.",7731,female
2010,"Congo, Dem. Rep.",7731,female
2011,"Congo, Dem. Rep.",7731,female
1995,"Congo, Dem. Rep.",12293,male
1996,"Congo, Dem. Rep.",12293,male
1997,"Congo, Dem. Rep.",12293,male
1998,"Congo, Dem. Rep.",12293,male
1999,"Congo, Dem. Rep.",12293,male
2000,"Congo, Dem. Rep.",12293,male
2001,"Congo, Dem. Rep.",12293,male
2002,"Congo, Dem. Rep.",12293,male
2003,"Congo, Dem. Rep.",12293,male
2004,"Congo, Dem. Rep.",12293,male
2005,"Congo, Dem. Rep.",12293,male
2006,"Congo, Dem. Rep.",12293,male
2007,"Congo, Dem. Rep.",12293,male
2008,"Congo, Dem. Rep.",12293,male
2009,"Congo, Dem. Rep.",12293,male
2010,"Congo, Dem. Rep.",12293,male
2011,"Congo, Dem. Rep.",12293,male
1995,Denmark,32345,female
1996,Denmark,32345,female
1997,Denmark,32345,female
1998,Denmark,32345,female
1999,Denmark,32345,female
2000,Denmark,32345,female
2001,Denmark,32345,female
2002,Denmark,32345,female
2003,Denmark,32345,female
2004,Denmark,32345,female
2005,Denmark,32345,female
2006,Denmark,32345,female
2007,Denmark,32345,female
2008,Denmark,32345,female
2009,Denmark,32345,female
2010,Denmark,33416,female
2011,Denmark,33416,female
1995,Denmark,38031,male
1996,Denmark,38031,male
1997,Denmark,38031,male
1998,Denmark,38031,male
1999,Denmark,38031,male
2000,Denmark,38031,male
2001,Denmark,38031,male
2002,Denmark,38031,male
2003,Denmark,38031,male
2004,Denmark,38031,male
2005,Denmark,38031,male
2006,Denmark,38031,male
2007,Denmark,38031,male
2008,Denmark,38031,male
2009,Denmark,38031,male
2010,Denmark,39297,male
2011,Denmark,39297,male
1995,Ecuador,150,female
1996,Ecuador,161,female
1997,Ecuador,192,female
1998,Ecuador,158,female
1999,Ecuador,105,female
2000,Ecuador,107,female
2001,Ecuador,143,female
2002,Ecuador,214,female
2003,Ecuador,236,female
2004,Ecuador,303,female
2005,Ecuador,279,female
2006,Ecuador,300,female
2007,Ecuador,327,female
2008,Ecuador,348,female
2009,Ecuador,367,female
2010,Ecuador,416,female
2011,Ecuador,460,female
1995,Ecuador,197,male
1996,Ecuador,205,male
1997,Ecuador,232,male
1998,Ecuador,204,male
1999,Ecuador,127,male
2000,Ecuador,130,male
2001,Ecuador,189,male
2002,Ecuador,269,male
2003,Ecuador,273,male
2004,Ecuador,337,male
2005,Ecuador,330,male
2006,Ecuador,333,male
2007,Ecuador,384,male
2008,Ecuador,402,male
2009,Ecuador,421,male
2010,Ecuador,456,male
2011,Ecuador,488,male
1995,"Egypt, Arab Rep.",359,female
1996,"Egypt, Arab Rep.",359,female
1997,"Egypt, Arab Rep.",407,female
1998,"Egypt, Arab Rep.",424,female
1999,"Egypt, Arab Rep.",502,female
2000,"Egypt, Arab Rep.",541,female
2001,"Egypt, Arab Rep.",576,female
2002,"Egypt, Arab Rep.",602,female
2003,"Egypt, Arab Rep.",645,female
2004,"Egypt, Arab Rep.",732,female
2005,"Egypt, Arab Rep.",723,female
2006,"Egypt, Arab Rep.",814,female
2007,"Egypt, Arab Rep.",879,female
2008,"Egypt, Arab Rep.",879,female
2009,"Egypt, Arab Rep.",879,female
2010,"Egypt, Arab Rep.",879,female
2011,"Egypt, Arab Rep.",879,female
1995,"Egypt, Arab Rep.",442,male
1996,"Egypt, Arab Rep.",442,male
1997,"Egypt, Arab Rep.",472,male
1998,"Egypt, Arab Rep.",498,male
1999,"Egypt, Arab Rep.",641,male
2000,"Egypt, Arab Rep.",732,male
2001,"Egypt, Arab Rep.",680,male
2002,"Egypt, Arab Rep.",723,male
2003,"Egypt, Arab Rep.",775,male
2004,"Egypt, Arab Rep.",836,male
2005,"Egypt, Arab Rep.",931,male
2006,"Egypt, Arab Rep.",1022,male
2007,"Egypt, Arab Rep.",1131,male
2008,"Egypt, Arab Rep.",1131,male
2009,"Egypt, Arab Rep.",1131,male
2010,"Egypt, Arab Rep.",1131,male
2011,"Egypt, Arab Rep.",1131,male
1995,El Salvador,194,female
1996,El Salvador,194,female
1997,El Salvador,194,female
1998,El Salvador,194,female
1999,El Salvador,194,female
2000,El Salvador,206,female
2001,El Salvador,206,female
2002,El Salvador,204,female
2003,El Salvador,204,female
2004,El Salvador,206,female
2005,El Salvador,217,female
2006,El Salvador,230,female
2007,El Salvador,231,female
2008,El Salvador,240,female
2009,El Salvador,247,female
2010,El Salvador,246,female
2011,El Salvador,246,female
1995,El Salvador,248,male
1996,El Salvador,248,male
1997,El Salvador,248,male
1998,El Salvador,248,male
1999,El Salvador,248,male
2000,El Salvador,261,male
