year,state,wvalue,lvalue
1999,Eswatini,1776,female
2000,Eswatini,1681,female
2001,Eswatini,1681,female
2002,Eswatini,1681,female
2003,Eswatini,1681,female
2004,Eswatini,1681,female
2005,Eswatini,1681,female
2006,Eswatini,1681,female
2007,Eswatini,1681,female
2008,Eswatini,1681,female
2009,Eswatini,1681,female
2010,Eswatini,1681,female
2011,Eswatini,1681,female
1995,Eswatini,1087,male
1996,Eswatini,1192,male
1997,Eswatini,1564,male
1998,Eswatini,1661,male
1999,Eswatini,1962,male
2000,Eswatini,1791,male
2001,Eswatini,1791,male
2002,Eswatini,1791,male
2003,Eswatini,1791,male
2004,Eswatini,1791,male
2005,Eswatini,1791,male
2006,Eswatini,1791,male
2007,Eswatini,1791,male
2008,Eswatini,1791,male
2009,Eswatini,1791,male
2010,Eswatini,1791,male
2011,Eswatini,1791,male
1995,Sweden,14700,female
1996,Sweden,15500,female
1997,Sweden,16200,female
1998,Sweden,16800,female
1999,Sweden,17600,female
2000,Sweden,18400,female
2001,Sweden,19200,female
2002,Sweden,20000,female
2003,Sweden,20700,female
2004,Sweden,21500,female
2005,Sweden,22100,female
2006,Sweden,22800,female
2007,Sweden,23500,female
2008,Sweden,24700,female
2009,Sweden,25700,female
2010,Sweden,26200,female
2011,Sweden,26800,female
1995,Sweden,17300,male
1996,Sweden,18600,male
1997,Sweden,19600,male
1998,Sweden,20400,male
1999,Sweden,21200,male
2000,Sweden,22500,male
2001,Sweden,23300,male
2002,Sweden,24100,male
2003,Sweden,24800,male
2004,Sweden,25700,male
2005,Sweden,26400,male
2006,Sweden,27100,male
2007,Sweden,28000,male
2008,Sweden,29400,male
2009,Sweden,30100,male
2010,Sweden,30600,male
2011,Sweden,31200,male
1995,Switzerland,4509,female
1996,Switzerland,4509,female
1997,Switzerland,4509,female
1998,Switzerland,4686,female
1999,Switzerland,4686,female
2000,Switzerland,4844,female
2001,Switzerland,4844,female
2002,Switzerland,5116,female
2003,Switzerland,5116,female
2004,Switzerland,5314,female
2005,Switzerland,5314,female
2006,Switzerland,5517,female
2007,Switzerland,5517,female
2008,Switzerland,5707,female
2009,Switzerland,5707,female
2010,Switzerland,5902,female
2011,Switzerland,5902,female
1995,Switzerland,6057,male
1996,Switzerland,6057,male
1997,Switzerland,6057,male
1998,Switzerland,6259,male
1999,Switzerland,6259,male
2000,Switzerland,6487,male
2001,Switzerland,6487,male
2002,Switzerland,6773,male
2003,Switzerland,6773,male
2004,Switzerland,6975,male
2005,Switzerland,6975,male
2006,Switzerland,7234,male
2007,Switzerland,7234,male
2008,Switzerland,7560,male
2009,Switzerland,7560,male
2010,Switzerland,7690,male
2011,Switzerland,7690,male
1995,Syrian Arab Republic,8834,female
1996,Syrian Arab Republic,8834,female
1997,Syrian Arab Republic,8834,female
1998,Syrian Arab Republic,8834,female
1999,Syrian Arab Republic,8834,female
2000,Syrian Arab Republic,8834,female
2001,Syrian Arab Republic,8834,female
2002,Syrian Arab Republic,8834,female
2003,Syrian Arab Republic,8834,female
2004,Syrian Arab Republic,8834,female
2005,Syrian Arab Republic,8834,female
2006,Syrian Arab Republic,8834,female
2007,Syrian Arab Republic,9306,female
2008,Syrian Arab Republic,10977,female
2009,Syrian Arab Republic,11779,female
2010,Syrian Arab Republic,11981,female
2011,Syrian Arab Republic,15592,female
1995,Syrian Arab Republic,8669,male
1996,Syrian Arab Republic,8669,male
1997,Syrian Arab Republic,8669,male
1998,Syrian Arab Republic,8669,male
1999,Syrian Arab Republic,8669,male
2000,Syrian Arab Republic,8669,male
2001,Syrian Arab Republic,8669,male
2002,Syrian Arab Republic,8669,male
2003,Syrian Arab Republic,8669,male
2004,Syrian Arab Republic,8669,male
2005,Syrian Arab Republic,8669,male
2006,Syrian Arab Republic,8669,male
2007,Syrian Arab Republic,8961,male
2008,Syrian Arab Republic,10552,male
2009,Syrian Arab Republic,10967,male
2010,Syrian Arab Republic,11227,male
2011,Syrian Arab Republic,13502,male
1995,Thailand,6290,female
1996,Thailand,6290,female
1997,Thailand,6290,female
1998,Thailand,6290,female
1999,Thailand,6290,female
2000,Thailand,6290,female
2001,Thailand,6290,female
2002,Thailand,6183,female
2003,Thailand,6328,female
2004,Thailand,6533,female
2005,Thailand,7018,female
2006,Thailand,7571,female
2007,Thailand,7801,female
2008,Thailand,8692,female
2009,Thailand,8521,female
2010,Thailand,9084,female
2011,Thailand,9740,female
1995,Thailand,6950,male
1996,Thailand,6950,male
1997,Thailand,6950,male
1998,Thailand,6950,male
1999,Thailand,6950,male
2000,Thailand,6950,male
2001,Thailand,6950,male
2002,Thailand,6940,male
2003,Thailand,7090,male
2004,Thailand,7206,male
2005,Thailand,7683,male
2006,Thailand,8071,male
2007,Thailand,8314,male
2008,Thailand,9090,male
2009,Thailand,8833,male
2010,Thailand,9403,male
2011,Thailand,10093,male
1995,Timor-Leste,176,female
1996,Timor-Leste,176,female
1997,Timor-Leste,176,female
1998,Timor-Leste,176,female
1999,Timor-Leste,176,female
2000,Timor-Leste,176,female
2001,Timor-Leste,176,female
2002,Timor-Leste,176,female
2003,Timor-Leste,176,female
2004,Timor-Leste,176,female
2005,Timor-Leste,176,female
2006,Timor-Leste,176,female
2007,Timor-Leste,176,female
2008,Timor-Leste,176,female
2009,Timor-Leste,176,female
2010,Timor-Leste,176,female
2011,Timor-Leste,176,female
1995,Timor-Leste,173,male
1996,Timor-Leste,173,male
1997,Timor-Leste,173,male
1998,Timor-Leste,173,male
1999,Timor-Leste,173,male
2000,Timor-Leste,173,male
2001,Timor-Leste,173,male
2002,Timor-Leste,173,male
2003,Timor-Leste,173,male
2004,Timor-Leste,173,male
2005,Timor-Leste,173,male
2006,Timor-Leste,173,male
2007,Timor-Leste,173,male
2008,Timor-Leste,173,male
2009,Timor-Leste,173,male
2010,Timor-Leste,173,male
2011,Timor-Leste,173,male
1995,Turkey,1091,female
1996,Turkey,1091,female
1997,Turkey,1091,female
1998,Turkey,1091,female
1999,Turkey,1091,female
2000,Turkey,1091,female
2001,Turkey,1091,female
2002,Turkey,1091,female
2003,Turkey,1091,female
2004,Turkey,1091,female
2005,Turkey,1091,female
2006,Turkey,1091,female
2007,Turkey,1091,female
2008,Turkey,1091,female
2009,Turkey,1091,female
2010,Turkey,1518,female
2011,Turkey,1518,female
1995,Turkey,1106,male
1996,Turkey,1106,male
1997,Turkey,1106,male
1998,Turkey,1106,male
1999,Turkey,1106,male
2000,Turkey,1106,male
2001,Turkey,1106,male
2002,Turkey,1106,male
2003,Turkey,1106,male
2004,Turkey,1106,male
2005,Turkey,1106,male
2006,Turkey,1106,male
2007,Turkey,1106,male
2008,Turkey,1106,male
2009,Turkey,1106,male
2010,Turkey,1509,male
2011,Turkey,1509,male
1995,Ukraine,66,female
1996,Ukraine,114,female
1997,Ukraine,132,female
1998,Ukraine,131,female
1999,Ukraine,149,female
2000,Ukraine,191,female
2001,Ukraine,256,female
2002,Ukraine,310,female
2003,Ukraine,379,female
2004,Ukraine,485,female
2005,Ukraine,675,female
2006,Ukraine,885,female
2007,Ukraine,1150,female
2008,Ukraine,1565,female
2009,Ukraine,1677,female
2010,Ukraine,1974,female
2011,Ukraine,2272,female
1995,Ukraine,98,male
1996,Ukraine,167,male
1997,Ukraine,182,male
1998,Ukraine,176,male
1999,Ukraine,206,male
2000,Ukraine,269,male
2001,Ukraine,367,male
2002,Ukraine,447,male
2003,Ukraine,552,male
2004,Ukraine,707,male
2005,Ukraine,953,male
2006,Ukraine,1216,male
2007,Ukraine,1578,male
2008,Ukraine,2080,male
2009,Ukraine,2173,male
2010,Ukraine,2538,male
2011,Ukraine,3035,male
1995,United Kingdom,971,female
1996,United Kingdom,971,female
1997,United Kingdom,971,female
1998,United Kingdom,1016,female
1999,United Kingdom,1066,female
2000,United Kingdom,1105,female
2001,United Kingdom,1171,female
2002,United Kingdom,1231,female
2003,United Kingdom,1282,female
2004,United Kingdom,1337,female
2005,United Kingdom,1384,female
2006,United Kingdom,1443,female
2007,United Kingdom,1490,female
2008,United Kingdom,1553,female
2009,United Kingdom,1604,female
2010,United Kingdom,1634,female
2011,United Kingdom,1653,female
1995,United Kingdom,1711,male
1996,United Kingdom,1711,male
1997,United Kingdom,1711,male
1998,United Kingdom,1800,male
1999,United Kingdom,1860,male
2000,United Kingdom,1932,male
2001,United Kingdom,2037,male
2002,United Kingdom,2138,male
2003,United Kingdom,2197,male
2004,United Kingdom,2228,male
2005,United Kingdom,2274,male
2006,United Kingdom,2361,male
2007,United Kingdom,2420,male
2008,United Kingdom,2529,male
2009,United Kingdom,2554,male
2010,United Kingdom,2580,male
2011,United Kingdom,2591,male
1995,Uruguay,5312,female
1996,Uruguay,5312,female
1997,Uruguay,5312,female
1998,Uruguay,5312,female
1999,Uruguay,5312,female
2000,Uruguay,5312,female
2001,Uruguay,5430,female
2002,Uruguay,5480,female
2003,Uruguay,5756,female
2004,Uruguay,6081,female
2005,Uruguay,6666,female
2006,Uruguay,7692,female
2007,Uruguay,9016,female
2008,Uruguay,9608,female
2009,Uruguay,11295,female
2010,Uruguay,12281,female
2011,Uruguay,14151,female
1995,Uruguay,7700,male
1996,Uruguay,7700,male
1997,Uruguay,7700,male
1998,Uruguay,7700,male
1999,Uruguay,7700,male
2000,Uruguay,7700,male
2001,Uruguay,7600,male
2002,Uruguay,7743,male
2003,Uruguay,7855,male
2004,Uruguay,8607,male
2005,Uruguay,8970,male
2006,Uruguay,10474,male
2007,Uruguay,12048,male
2008,Uruguay,13563,male
2009,Uruguay,15824,male
2010,Uruguay,16579,male
2011,Uruguay,18819,male
1995,"Venezuela, RB",39,female
1996,"Venezuela, RB",64,female
1997,"Venezuela, RB",114,female
1998,"Venezuela, RB",149,female
1999,"Venezuela, RB",173,female
2000,"Venezuela, RB",188,female
2001,"Venezuela, RB",234,female
2002,"Venezuela, RB",261,female
2003,"Venezuela, RB",283,female
2004,"Venezuela, RB",381,female
2005,"Venezuela, RB",504,female
2006,"Venezuela, RB",654,female
2007,"Venezuela, RB",852,female
2008,"Venezuela, RB",1126,female
2009,"Venezuela, RB",1427,female
2010,"Venezuela, RB",1815,female
2011,"Venezuela, RB",1815,female
1995,"Venezuela, RB",42,male
1996,"Venezuela, RB",72,male
1997,"Venezuela, RB",126,male
1998,"Venezuela, RB",165,male
1999,"Venezuela, RB",188,male
2000,"Venezuela, RB",202,male
2001,"Venezuela, RB",244,male
2002,"Venezuela, RB",271,male
2003,"Venezuela, RB",311,male
2004,"Venezuela, RB",413,male
2005,"Venezuela, RB",541,male
2006,"Venezuela, RB",713,male
2007,"Venezuela, RB",923,male
2008,"Venezuela, RB",1244,male
2009,"Venezuela, RB",1513,male
2010,"Venezuela, RB",1928,male
2011,"Venezuela, RB",1928,male
1995,Vietnam,1280000,female
1996,Vietnam,1280000,female
1997,Vietnam,1280000,female
1998,Vietnam,1280000,female
1999,Vietnam,1280000,female
2000,Vietnam,1280000,female
2001,Vietnam,1280000,female
2002,Vietnam,1280000,female
2003,Vietnam,1280000,female
2004,Vietnam,1280000,female
2005,Vietnam,1280000,female
2006,Vietnam,1280000,female
2007,Vietnam,1280000,female
2008,Vietnam,1280000,female
2009,Vietnam,2175000,female
2010,Vietnam,2297000,female
2011,Vietnam,2297000,female
1995,Vietnam,1464000,male
1996,Vietnam,1464000,male
1997,Vietnam,1464000,male
1998,Vietnam,1464000,male
1999,Vietnam,1464000,male
2000,Vietnam,1464000,male
2001,Vietnam,1464000,male
2002,Vietnam,1464000,male
2003,Vietnam,1464000,male
2004,Vietnam,1464000,male
2005,Vietnam,1464000,male
2006,Vietnam,1464000,male
2007,Vietnam,1464000,male
2008,Vietnam,1464000,male
2009,Vietnam,2562000,male
2010,Vietnam,2668000,male
2011,Vietnam,2668000,male
1995,United States,3133,female
1996,United States,3216,female
1997,United States,3316,female
1998,United States,3388,female
1999,United States,3376,female
2000,United States,3407,female
2001,United States,3524,female
2002,United States,3587,female
2003,United States,3568,female
2004,United States,3532,female
2005,United States,3484,female
2006,United States,3444,female
2007,United States,3616,female
2008,United States,3546,female
2009,United States,3611,female
2010,United States,3612,female
2011,United States,3524,female
1995,United States,4386,male
1996,United States,4360,male
1997,United States,4471,male
1998,United States,4630,male
1999,United States,4668,male
2000,United States,4622,male
2001,United States,4617,male
2002,United States,4682,male
2003,United States,4722,male
2004,United States,4613,male
2005,United States,4526,male
2006,United States,4477,male
2007,United States,4647,male
2008,United States,4599,male
2009,United States,4691,male
2010,United States,4696,male
2011,United States,4576,male
